filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency
test1.gcode,0.14293072366726292,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test10.gcode,0.9615260350711612,1.0,0.0002876002698437303,0.0,0.0,0.0,12.000052,0.0
test100.gcode,0.0833333333333142,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test1000.gcode,0.9833296063710572,1.0,0.0011476942361079731,0.0,0.0,0.0,12.000052,0.0
test101.gcode,0.01999999999999814,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test102.gcode,0.9999999999999646,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test103.gcode,0.9763749999999324,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test104.gcode,0.9999917691405696,1.0,6.057906696763703e-07,0.0,0.0,0.0,12.000052,0.0
test105.gcode,0.9999999999999493,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test106.gcode,0.995614035087682,1.0,0.0010527631578944757,0.0,0.0,0.0,12.000052,0.0
test107.gcode,0.9833333333333776,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test108.gcode,0.9773020120923348,1.0,0.00041505319150144683,0.0,0.0,0.0,12.000052,0.0
test109.gcode,0.9999991317307733,1.0,1.729440540068165e-07,0.0,0.0,0.0,12.000052,0.0
test11.gcode,0.9772764636383171,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test110.gcode,0.015384615384615021,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test111.gcode,0.9999985283317806,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test112.gcode,0.8230492274166935,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test113.gcode,0.8669201520912198,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test114.gcode,0.3003733737573037,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test115.gcode,0.8984498336401163,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test116.gcode,0.9373377827215377,1.0,0.006109289086245699,0.0,0.0,0.0,12.000052,0.0
test117.gcode,0.9445552453131163,1.0,0.004119432037582288,0.0,0.0,0.0,12.000052,0.0
test118.gcode,0.9415141888737658,1.0,0.0055806391442560135,0.0,0.0,0.0,12.000052,0.0
test119.gcode,0.9080459770114351,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test12.gcode,0.9635603345280686,1.0,0.00013801724137926127,0.0,0.0,0.0,12.000052,0.0
test120.gcode,0.9602272727272828,1.0,0.0005994863013699563,0.0,0.0,0.0,12.000052,0.0
test121.gcode,0.9998126008820576,1.0,8.392881940557643e-06,0.0,0.0,0.0,12.000052,0.0
test122.gcode,0.9971307450675994,1.0,8.026077632278519e-06,0.0,0.0,0.0,12.000052,0.0
test123.gcode,0.9996083022268578,1.0,8.806258908660409e-06,0.0,0.0,0.0,12.000052,0.0
test124.gcode,0.9998074474570042,1.0,1.2140249512837335e-05,0.0,0.0,0.0,12.000052,0.0
test125.gcode,0.999844880613368,1.0,7.065796352428598e-06,0.0,0.0,0.0,12.000052,0.0
test126.gcode,0.9997972959606797,1.0,1.1119254742554355e-05,0.0,0.0,0.0,12.000052,0.0
test127.gcode,0.9998171984493964,1.0,7.89934487503369e-06,0.0,0.0,0.0,12.000052,0.0
test128.gcode,0.9254045725229487,1.0,0.006254364280981612,0.0,0.0,0.0,12.000052,0.0
test129.gcode,0.9911046941927365,1.0,0.000448287972474516,0.0,0.0,0.0,12.000052,0.0
test13.gcode,0.9737609099526734,1.0,0.00034564470938513704,0.0,0.0,0.0,12.000052,0.0
test130.gcode,0.9998158654034743,1.0,7.77291727036967e-06,0.0,0.0,0.0,12.000052,0.0
test131.gcode,0.9988677607469689,1.0,0.0001372665392602279,0.0,0.0,0.0,12.000052,0.0
test132.gcode,0.9998053746826705,1.0,1.2065435563625236e-05,0.0,0.0,0.0,12.000052,0.0
test133.gcode,0.999843234486142,1.0,9.353417706230012e-06,0.0,0.0,0.0,12.000052,0.0
test134.gcode,0.999806946799778,1.0,1.1311804532602133e-05,0.0,0.0,0.0,12.000052,0.0
test135.gcode,0.9977369709739266,1.0,0.00012049381388089765,0.0,0.0,0.0,12.000052,0.0
test136.gcode,0.9374532221056915,1.0,0.0005552691912484869,0.0,0.0,0.0,12.000052,0.0
test137.gcode,0.999796950319549,1.0,8.984570204891525e-06,0.0,0.0,0.0,12.000052,0.0
test138.gcode,0.9974879054197341,1.0,0.00013667952619808338,0.0,0.0,0.0,12.000052,0.0
test139.gcode,0.997715943230363,1.0,0.00016574809124801472,0.0,0.0,0.0,12.000052,0.0
test14.gcode,0.902188476998433,1.0,0.0021991666666665586,0.0,0.0,0.0,12.000052,0.0
test140.gcode,0.9903900146148223,1.0,7.813702072622636e-06,0.0,0.0,0.0,12.000052,0.0
test141.gcode,0.9981059683694383,1.0,0.000230568438846172,0.0,0.0,0.0,12.000052,0.0
test142.gcode,0.9991040318353023,1.0,9.603266530078808e-05,0.0,0.0,0.0,12.000052,0.0
test143.gcode,0.9874592126426791,1.0,0.0004430303388230096,0.0,0.0,0.0,12.000052,0.0
test144.gcode,0.9959850335177277,1.0,0.00020680240479833536,0.0,0.0,0.0,12.000052,0.0
test145.gcode,0.997025657551847,1.0,0.00029243828789816067,0.0,0.0,0.0,12.000052,0.0
test146.gcode,0.9983009253299322,1.0,8.938940435484737e-06,0.0,0.0,0.0,12.000052,0.0
test147.gcode,0.9998029444342482,1.0,8.963591332427317e-06,0.0,0.0,0.0,12.000052,0.0
test148.gcode,0.9998317508188699,1.0,8.933237317037318e-06,0.0,0.0,0.0,12.000052,0.0
test149.gcode,0.9998155632092257,1.0,7.681696882881647e-06,0.0,0.0,0.0,12.000052,0.0
test15.gcode,0.987183411125613,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test150.gcode,0.9979740760992661,1.0,0.00023641874663562224,0.0,0.0,0.0,12.000052,0.0
test151.gcode,0.9472243446203474,1.0,0.00044525460893901127,0.0,0.0,0.0,12.000052,0.0
test152.gcode,0.06921462426542635,1.0,0.0030559983607070453,0.0,0.0,0.0,12.000052,0.0
test153.gcode,0.9998178707567209,1.0,1.0162282051765546e-05,0.0,0.0,0.0,12.000052,0.0
test154.gcode,0.999827969661956,1.0,9.282262796793047e-06,0.0,0.0,0.0,12.000052,0.0
test155.gcode,0.9992441114328139,1.0,7.004293321120092e-05,0.0,0.0,0.0,12.000052,0.0
test156.gcode,0.3081419118727783,1.0,0.0033312861844471547,0.0,0.0,0.0,12.000052,0.0
test157.gcode,0.9159135104618875,1.0,0.002267026850734643,0.0,0.0,0.0,12.000052,0.0
test158.gcode,0.9984661513257629,1.0,0.0001625760004555637,0.0,0.0,0.0,12.000052,0.0
test159.gcode,0.9983562418310565,1.0,0.00017177042473289026,0.0,0.0,0.0,12.000052,0.0
test16.gcode,0.010562052055835162,1.0,0.0,0.0,0.0,0.0,12.000052,0.0
test160.gcode,0.9997970847168023,1.0,8.68436084111144e-06,0.0,0.0,0.0,12.000052,0.0
test161.gcode,0.9954500813311596,1.0,0.00019583549795710716,0.0,0.0,0.0,12.000052,0.0
test162.gcode,0.9952189155917172,1.0,0.00022208954943843257,0.0,0.0,0.0,12.000052,0.0
